x,Curve1
"0,0055" "11439,4"
"0,2692" "11432,1"
"0,8352" "11321,7"
"1,1264" "10951,7"
"1,2582" "10472,6"
"1,456" "9733,3"
"1,6099" "9192,6"
"1,8901" "8528,4"
"2,1792" "8035,4"
"2,498" "7501,2"
"2,7684" "6999,2"
"3,0482" "6515"
"3,4151" "6031,7"
"3,7681" "5677,6"
"4,2458" "5288,9"
"4,6819" "4874,4"
"5,0659" "4452,2"
"5,3736" "3904,3"
"5,6154" "3301,8"
"5,8571" "2699,3"
"6,1209" "2096,8"
"6,3433" "1673,5"
"6,7241" "1164,3"
"7,0079" "913,8"
